Cliente_ID,Fecha_Visita,Tipo_Servicio,Tiempo_Espera,Duración_Atención,Costo_Servicio,Personal_Atención,Calidad_Atención,Instalaciones,Comunicación,Facilidad_Pago,Experiencia_Cliente,Recomendaciones,Satisfaccion_cliente,Niveles
113,19/02/2023,Cirugías,15,122,5263,MVZ. Eddie Hernández Vidal,3,4,1,2,Buena,Sí,3,Satisfecho
114,25/12/2023,Ultrasonido,31,142,4582,MVZ. Eddie Hernández Vidal,3,5,2,4,Regular,Sí,1,Insatisfecho
115,17/05/2023,Urgencias,38,138,5345,MVZ. Eddie Hernández Vidal,4,2,3,5,Pésima,Sí,4,Muy Satisfecho
116,07/06/2023,Desparasitación,17,27,3488,MVZ. Eddie Hernández Vidal,4,4,1,4,Regular,Sí,1,Insatisfecho
117,20/10/2023,Urgencias,5,42,5998,MVZ. Eddie Hernández Vidal,5,4,2,3,Buena,Sí,1,Insatisfecho
118,03/05/2023,Consulta general,16,97,3125,MVZ. Eddie Hernández Vidal,5,1,1,3,Regular,Sí,1,Insatisfecho
119,28/12/2023,Desparasitación,23,61,2234,MVZ. Eddie Hernández Vidal,4,5,4,5,Mala,No,4,Muy Satisfecho
120,01/01/2023,Desparasitación,14,107,501,MVZ. Eddie Hernández Vidal,4,5,5,3,Buena,No,5,Extremadamente satisfecho
121,03/08/2023,Servicio a domicilio,20,60,2422,MVZ. Eddie Hernández Vidal,2,3,3,1,Mala,Sí,1,Insatisfecho
122,12/06/2023,Hospitalización,19,105,3444,MVZ. Eddie Hernández Vidal,4,4,3,4,Mala,No,3,Satisfecho
123,16/06/2023,Vacunación,8,99,2012,MVZ. Eddie Hernández Vidal,3,5,2,1,Buena,Sí,1,Insatisfecho
124,07/10/2023,Hospitalización,15,119,452,MVZ. Eddie Hernández Vidal,1,5,3,2,Buena,No,3,Satisfecho
125,05/12/2023,Cirugías,10,110,5426,MVZ. Eddie Hernández Vidal,5,4,4,3,Pésima,No,3,Satisfecho
126,18/11/2023,Vacunación,22,19,376,MVZ. Eddie Hernández Vidal,5,2,5,3,Regular,Sí,5,Extremadamente satisfecho
127,03/06/2023,Cirugías,15,72,3868,MVZ. Eddie Hernández Vidal,5,5,5,5,Pésima,No,4,Muy Satisfecho
128,17/02/2023,Desparasitación,17,91,1927,MVZ. Eddie Hernández Vidal,3,3,4,2,Regular,No,2,Algo satisfecho
129,26/06/2023,Estética,6,77,1647,MVZ. Eddie Hernández Vidal,2,2,4,1,Pésima,No,1,Insatisfecho
130,23/06/2023,Desparasitación,34,63,519,MVZ. Eddie Hernández Vidal,4,4,1,3,Pésima,No,2,Algo satisfecho
131,02/06/2023,Estética,32,33,5960,MVZ. Eddie Hernández Vidal,3,5,1,3,Mala,No,2,Algo satisfecho
132,20/01/2023,Vacunación,26,91,1033,MVZ. Eddie Hernández Vidal,1,4,3,4,Regular,Sí,1,Insatisfecho
133,28/01/2023,Servicio a domicilio,15,130,915,MVZ. Eddie Hernández Vidal,5,3,1,1,Regular,Sí,4,Muy Satisfecho
134,21/06/2023,Estética,30,95,5600,MVZ. Eddie Hernández Vidal,3,1,5,5,Mala,No,3,Satisfecho
135,13/05/2023,Desparasitación,18,139,1714,MVZ. Eddie Hernández Vidal,3,4,4,1,Regular,Sí,2,Algo satisfecho
136,11/08/2023,Urgencias,27,53,385,MVZ. Eddie Hernández Vidal,5,3,2,1,Mala,Sí,1,Insatisfecho
137,26/11/2023,Ultrasonido,40,110,2456,MVZ. Eddie Hernández Vidal,2,5,2,1,Mala,No,3,Satisfecho
138,07/05/2023,Cirugías,6,20,2144,MVZ. Eddie Hernández Vidal,4,1,2,3,Buena,No,5,Extremadamente satisfecho
139,14/03/2023,Ultrasonido,31,83,4662,MVZ. Eddie Hernández Vidal,1,2,5,2,Mala,Sí,2,Algo satisfecho
140,24/02/2023,Urgencias,19,141,4241,MVZ. Eddie Hernández Vidal,4,4,1,2,Mala,No,3,Satisfecho
141,03/08/2023,Estética,39,95,3355,MVZ. Eddie Hernández Vidal,3,2,3,3,Mala,Sí,2,Algo satisfecho
142,15/10/2023,Hospitalización,29,21,3003,MVZ. Eddie Hernández Vidal,4,1,3,5,Regular,No,2,Algo satisfecho
143,08/06/2023,Consulta general,9,68,3548,MVZ. Eddie Hernández Vidal,4,2,5,1,Mala,No,4,Muy Satisfecho
144,09/08/2023,Urgencias,22,111,1380,MVZ. Eddie Hernández Vidal,5,5,5,5,Mala,No,5,Extremadamente satisfecho
145,27/07/2023,Hospitalización,23,131,1333,MVZ. Eddie Hernández Vidal,1,5,4,2,Regular,No,2,Algo satisfecho
146,11/06/2023,Estética,24,82,1411,MVZ. Eddie Hernández Vidal,2,4,3,2,Mala,No,5,Extremadamente satisfecho
147,04/01/2023,Vacunación,40,130,1439,MVZ. Eddie Hernández Vidal,1,2,2,5,Buena,Sí,1,Insatisfecho
148,08/01/2023,Servicio a domicilio,34,115,3693,MVZ. Eddie Hernández Vidal,3,2,1,2,Pésima,No,1,Insatisfecho
149,13/06/2023,Desparasitación,38,92,1094,MVZ. Eddie Hernández Vidal,3,5,1,5,Mala,No,4,Muy Satisfecho
150,18/08/2023,Vacunación,14,41,3227,MVZ. Eddie Hernández Vidal,5,3,1,2,Mala,Sí,2,Algo satisfecho
151,11/01/2023,Cirugías,36,107,2737,MVZ. Eddie Hernández Vidal,1,5,3,4,Buena,Sí,5,Extremadamente satisfecho
152,02/10/2023,Consulta general,17,40,5378,MVZ. Eddie Hernández Vidal,4,1,5,1,Buena,No,5,Extremadamente satisfecho
153,11/02/2023,Urgencias,5,41,4665,MVZ. Eddie Hernández Vidal,5,5,4,2,Buena,No,3,Satisfecho
154,19/06/2023,Desparasitación,9,139,5266,MVZ. Eddie Hernández Vidal,1,3,5,1,Mala,No,1,Insatisfecho
155,25/03/2023,Ultrasonido,32,149,1273,MVZ. Eddie Hernández Vidal,3,3,1,3,Buena,No,1,Insatisfecho
156,04/05/2023,Urgencias,32,144,1962,MVZ. Eddie Hernández Vidal,2,2,4,3,Mala,No,4,Muy Satisfecho
157,22/06/2023,Estética,34,52,1211,MVZ. Eddie Hernández Vidal,3,3,2,2,Pésima,No,4,Muy Satisfecho
158,10/10/2023,Desparasitación,10,112,5910,MVZ. Eddie Hernández Vidal,1,3,4,5,Pésima,No,4,Muy Satisfecho
159,08/03/2023,Urgencias,20,121,5865,MVZ. Eddie Hernández Vidal,2,2,3,2,Pésima,No,1,Insatisfecho
160,04/05/2023,Desparasitación,19,62,1445,MVZ. Eddie Hernández Vidal,4,4,5,1,Buena,Sí,4,Muy Satisfecho
161,14/03/2023,Hospitalización,8,68,3861,MVZ. Eddie Hernández Vidal,2,3,1,5,Pésima,Sí,4,Muy Satisfecho
162,23/07/2023,Vacunación,9,49,666,MVZ. Eddie Hernández Vidal,2,1,2,1,Regular,No,5,Extremadamente satisfecho
163,26/05/2023,Vacunación,33,119,1672,MVZ. Eddie Hernández Vidal,1,2,3,4,Regular,Sí,5,Extremadamente satisfecho
164,18/10/2023,Estética,36,80,1146,MVZ. Eddie Hernández Vidal,2,2,2,4,Pésima,Sí,2,Algo satisfecho
165,24/10/2023,Desparasitación,39,134,4454,MVZ. Eddie Hernández Vidal,3,3,1,2,Pésima,No,3,Satisfecho
166,23/10/2023,Estética,28,103,3286,MVZ. Eddie Hernández Vidal,3,2,5,4,Mala,Sí,4,Muy Satisfecho
167,29/05/2023,Estética,30,83,3244,MVZ. Eddie Hernández Vidal,3,2,2,3,Buena,Sí,2,Algo satisfecho
168,07/03/2023,Urgencias,25,122,1544,MVZ. Eddie Hernández Vidal,5,4,4,3,Regular,No,3,Satisfecho
169,16/02/2023,Vacunación,6,135,4049,MVZ. Eddie Hernández Vidal,1,4,2,2,Pésima,Sí,5,Extremadamente satisfecho
170,28/12/2023,Ultrasonido,14,16,614,MVZ. Eddie Hernández Vidal,4,5,3,5,Buena,Sí,3,Satisfecho
171,12/11/2023,Vacunación,15,71,1643,MVZ. Eddie Hernández Vidal,3,4,2,1,Buena,Sí,2,Algo satisfecho
172,14/11/2023,Estética,19,145,2903,MVZ. Eddie Hernández Vidal,5,2,5,1,Regular,Sí,4,Muy Satisfecho
173,18/11/2023,Desparasitación,10,145,5541,MVZ. Eddie Hernández Vidal,3,1,1,5,Buena,Sí,1,Insatisfecho
174,31/08/2023,Consulta general,8,101,4499,MVZ. Eddie Hernández Vidal,5,1,1,3,Pésima,Sí,5,Extremadamente satisfecho
175,22/05/2023,Hospitalización,18,35,3535,MVZ. Eddie Hernández Vidal,2,4,3,4,Regular,No,3,Satisfecho
176,28/11/2023,Ultrasonido,5,99,1373,MVZ. Eddie Hernández Vidal,5,1,4,3,Regular,No,3,Satisfecho
177,20/09/2023,Hospitalización,5,77,5006,MVZ. Eddie Hernández Vidal,5,5,5,4,Mala,No,2,Algo satisfecho
178,17/02/2023,Ultrasonido,22,65,1294,MVZ. Eddie Hernández Vidal,1,3,3,4,Buena,No,4,Muy Satisfecho
179,18/12/2023,Vacunación,16,28,2156,MVZ. Eddie Hernández Vidal,3,3,4,3,Regular,No,1,Insatisfecho
180,09/08/2023,Servicio a domicilio,23,85,5356,MVZ. Eddie Hernández Vidal,5,1,2,3,Pésima,No,5,Extremadamente satisfecho
181,20/08/2023,Desparasitación,24,62,2019,MVZ. Eddie Hernández Vidal,2,4,1,3,Regular,Sí,2,Algo satisfecho
182,25/08/2023,Consulta general,31,77,110,MVZ. Eddie Hernández Vidal,1,2,4,3,Mala,No,2,Algo satisfecho
183,10/05/2023,Urgencias,32,147,695,MVZ. Eddie Hernández Vidal,1,3,5,1,Pésima,Sí,5,Extremadamente satisfecho
184,14/04/2023,Vacunación,24,43,1055,MVZ. Eddie Hernández Vidal,2,2,4,2,Regular,No,4,Muy Satisfecho
185,11/01/2023,Vacunación,27,119,4023,MVZ. Eddie Hernández Vidal,1,4,5,1,Mala,No,1,Insatisfecho
186,05/09/2023,Ultrasonido,21,91,294,MVZ. Eddie Hernández Vidal,3,3,4,3,Pésima,No,4,Muy Satisfecho
187,06/02/2023,Servicio a domicilio,12,149,1746,MVZ. Eddie Hernández Vidal,3,1,5,4,Buena,Sí,5,Extremadamente satisfecho
188,26/01/2023,Cirugías,22,58,1792,MVZ. Eddie Hernández Vidal,1,1,1,1,Regular,Sí,1,Insatisfecho
189,07/12/2023,Estética,37,136,5331,MVZ. Eddie Hernández Vidal,2,4,1,4,Pésima,No,3,Satisfecho
190,16/07/2023,Servicio a domicilio,22,33,5877,MVZ. Eddie Hernández Vidal,4,3,3,1,Buena,Sí,2,Algo satisfecho
191,13/06/2023,Cirugías,31,111,4740,MVZ. Eddie Hernández Vidal,2,3,2,3,Buena,No,5,Extremadamente satisfecho
192,22/10/2023,Cirugías,26,113,3830,MVZ. Eddie Hernández Vidal,5,5,2,4,Pésima,No,4,Muy Satisfecho
193,04/10/2023,Ultrasonido,28,95,4473,MVZ. Eddie Hernández Vidal,3,2,2,3,Buena,No,5,Extremadamente satisfecho
194,18/07/2023,Hospitalización,18,67,489,MVZ. Eddie Hernández Vidal,2,3,1,4,Buena,Sí,2,Algo satisfecho
195,29/09/2023,Estética,12,18,3984,MVZ. Eddie Hernández Vidal,5,4,1,3,Regular,No,5,Extremadamente satisfecho
196,07/04/2023,Urgencias,31,143,5612,MVZ. Eddie Hernández Vidal,5,2,5,5,Regular,No,5,Extremadamente satisfecho
197,26/10/2023,Urgencias,33,123,1080,MVZ. Eddie Hernández Vidal,1,3,3,2,Mala,Sí,3,Satisfecho
198,27/12/2023,Hospitalización,17,63,1424,MVZ. Eddie Hernández Vidal,1,2,3,5,Buena,No,5,Extremadamente satisfecho
199,02/02/2023,Vacunación,6,64,3390,MVZ. Eddie Hernández Vidal,5,1,3,4,Pésima,Sí,5,Extremadamente satisfecho
200,28/04/2023,Cirugías,40,38,650,MVZ. Eddie Hernández Vidal,4,2,3,3,Pésima,Sí,1,Insatisfecho
201,20/05/2023,Vacunación,18,120,2543,MVZ. Eddie Hernández Vidal,4,1,5,5,Regular,No,4,Muy Satisfecho
202,02/12/2023,Ultrasonido,6,106,5719,MVZ. Eddie Hernández Vidal,1,4,2,4,Pésima,No,1,Insatisfecho
203,18/01/2023,Consulta general,9,15,4743,MVZ. Eddie Hernández Vidal,5,3,5,4,Buena,Sí,1,Insatisfecho
204,31/07/2023,Desparasitación,7,20,393,MVZ. Eddie Hernández Vidal,5,5,2,3,Regular,No,2,Algo satisfecho
205,20/10/2023,Estética,17,83,3767,MVZ. Eddie Hernández Vidal,5,1,3,1,Pésima,No,2,Algo satisfecho
