Cliente_ID,Fecha_Visita,Tipo_Servicio,Tiempo_Espera,Duración_Atención,Costo_Servicio,Personal_Atención,Calidad_Atención,Instalaciones,Comunicación,Facilidad_Pago,Experiencia_Cliente,Recomendaciones,Satisfaccion_cliente
35,04/02/2024,Hospitalización,43,137,660,MVZ. Eddie Hernández Vidal,3,3,5,2,Mala,Sí,Satisfecho
36,05/02/2024,Urgencias,17,47,9602,MVZ. Eddie Hernández Vidal,3,3,4,5,Regular,No,Muy Satisfecho
37,06/02/2024,Consulta general,50,17,1127,MVZ. Eddie Hernández Vidal,4,4,5,5,Regular,No,Extremadamente satisfecho
38,07/02/2024,Urgencias,16,21,2158,MVZ. Eddie Hernández Vidal,1,5,2,1,Regular,Sí,Algo satisfecho
39,08/02/2024,Desparacitación,0,74,6532,MVZ. Eddie Hernández Vidal,4,1,5,1,Pesima,Sí,Satisfecho
40,09/02/2024,Hospitalización,26,18,9465,MVZ. Eddie Hernández Vidal,2,4,1,3,Pesima,No,Satisfecho
41,10/02/2024,Vacunación,7,16,4109,MVZ. Eddie Hernández Vidal,3,2,2,1,Mala,Sí,Algo satisfecho
42,11/02/2024,Servicio a domicilio,54,111,7378,MVZ. Eddie Hernández Vidal,5,1,2,1,Buena,No,Algo satisfecho
43,12/02/2024,Hospitalización,18,44,9669,MVZ. Eddie Hernández Vidal,3,1,3,2,Pesima,No,Algo satisfecho
44,13/02/2024,Servicio a domicilio,58,5,4421,MVZ. Eddie Hernández Vidal,1,3,1,3,Buena,Sí,Algo satisfecho
45,14/02/2024,Urgencias,11,157,3376,MVZ. Eddie Hernández Vidal,1,2,3,4,Mala,Sí,Satisfecho
46,15/02/2024,Urgencias,57,117,8856,MVZ. Eddie Hernández Vidal,4,4,4,2,Pesima,Sí,Muy Satisfecho
47,16/02/2024,Desparacitación,58,160,2638,MVZ. Eddie Hernández Vidal,5,3,4,4,Pesima,Sí,Muy Satisfecho
48,17/02/2024,Cirugías,12,124,5911,MVZ. Eddie Hernández Vidal,2,2,2,3,Buena,No,Algo satisfecho
49,18/02/2024,Cirugías,13,163,2496,MVZ. Eddie Hernández Vidal,4,2,1,3,Mala,No,Satisfecho
50,19/02/2024,Ultrasonido,8,157,7029,MVZ. Eddie Hernández Vidal,3,1,5,5,Buena,No,Muy Satisfecho
51,20/02/2024,Estética,40,131,9202,MVZ. Eddie Hernández Vidal,5,2,1,5,Pesima,Sí,Satisfecho
52,21/02/2024,Desparacitación,18,99,113,MVZ. Eddie Hernández Vidal,3,5,1,1,Buena,Sí,Satisfecho
53,22/02/2024,Consulta general,17,126,3962,MVZ. Eddie Hernández Vidal,5,2,5,4,Mala,No,Muy Satisfecho
54,23/02/2024,Desparacitación,42,115,3416,MVZ. Eddie Hernández Vidal,5,5,1,1,Pesima,No,Satisfecho
55,24/02/2024,Estética,44,165,7201,MVZ. Eddie Hernández Vidal,5,3,4,3,Pesima,Sí,Muy Satisfecho
56,25/02/2024,Consulta general,34,66,7612,MVZ. Eddie Hernández Vidal,2,4,1,3,Pesima,No,Satisfecho
57,26/02/2024,Consulta general,11,91,6658,MVZ. Eddie Hernández Vidal,5,4,4,1,Pesima,Sí,Muy Satisfecho
58,27/02/2024,Hospitalización,23,52,9198,MVZ. Eddie Hernández Vidal,4,5,4,4,Regular,Sí,Muy Satisfecho
59,28/02/2024,Vacunación,6,141,4839,MVZ. Eddie Hernández Vidal,1,1,5,3,Regular,No,Satisfecho
60,29/02/2024,Ultrasonido,14,8,9301,MVZ. Eddie Hernández Vidal,5,4,2,5,Regular,No,Muy Satisfecho
61,01/03/2024,Hospitalización,46,105,7300,MVZ. Eddie Hernández Vidal,2,2,4,5,Buena,No,Satisfecho
62,02/03/2024,Servicio a domicilio,54,65,7819,MVZ. Eddie Hernández Vidal,3,4,3,5,Mala,Sí,Muy Satisfecho
63,03/03/2024,Urgencias,50,64,9700,MVZ. Eddie Hernández Vidal,5,3,5,2,Pesima,Sí,Muy Satisfecho
64,04/03/2024,Vacunación,43,93,5970,MVZ. Eddie Hernández Vidal,1,2,2,5,Mala,No,Satisfecho
65,05/03/2024,Cirugías,1,93,9852,MVZ. Eddie Hernández Vidal,2,3,4,1,Regular,Sí,Satisfecho
66,06/03/2024,Desparacitación,14,104,8632,MVZ. Eddie Hernández Vidal,2,4,3,3,Mala,Sí,Satisfecho
67,07/03/2024,Desparacitación,37,70,830,MVZ. Eddie Hernández Vidal,3,1,5,3,Regular,No,Satisfecho
68,08/03/2024,Ultrasonido,6,89,9662,MVZ. Eddie Hernández Vidal,5,2,1,1,Regular,Sí,Algo satisfecho
69,09/03/2024,Desparacitación,57,12,5645,MVZ. Eddie Hernández Vidal,4,3,4,2,Pesima,No,Satisfecho
70,10/03/2024,Desparacitación,47,91,4419,MVZ. Eddie Hernández Vidal,5,5,1,3,Regular,No,Muy Satisfecho
71,11/03/2024,Vacunación,44,49,1388,MVZ. Eddie Hernández Vidal,2,3,5,3,Pesima,No,Satisfecho
72,12/03/2024,Desparacitación,9,37,4629,MVZ. Eddie Hernández Vidal,5,5,4,3,Regular,Sí,Muy Satisfecho
73,13/03/2024,Desparacitación,3,38,7653,MVZ. Eddie Hernández Vidal,4,5,5,3,Buena,No,Muy Satisfecho
74,14/03/2024,Estética,9,82,1332,MVZ. Eddie Hernández Vidal,4,1,2,2,Pesima,Sí,Algo satisfecho
75,15/03/2024,Desparacitación,59,134,5304,MVZ. Eddie Hernández Vidal,2,5,1,1,Mala,Sí,Algo satisfecho
76,16/03/2024,Vacunación,52,8,5868,MVZ. Eddie Hernández Vidal,1,2,1,2,Pesima,No,Algo satisfecho
77,17/03/2024,Hospitalización,59,172,2440,MVZ. Eddie Hernández Vidal,2,4,3,1,Pesima,No,Satisfecho
78,18/03/2024,Cirugías,34,67,1823,MVZ. Eddie Hernández Vidal,4,3,5,1,Mala,No,Satisfecho
79,19/03/2024,Cirugías,30,105,8527,MVZ. Eddie Hernández Vidal,4,2,5,2,Buena,No,Satisfecho
80,20/03/2024,Urgencias,1,32,4304,MVZ. Eddie Hernández Vidal,5,5,2,1,Regular,Sí,Satisfecho
81,21/03/2024,Consulta general,38,103,9587,MVZ. Eddie Hernández Vidal,3,2,3,4,Regular,Sí,Satisfecho
82,22/03/2024,Cirugías,14,114,3837,MVZ. Eddie Hernández Vidal,4,2,5,1,Regular,Sí,Satisfecho
83,23/03/2024,Vacunación,16,180,5986,MVZ. Eddie Hernández Vidal,1,1,5,1,Buena,Sí,Algo satisfecho
84,24/03/2024,Urgencias,30,158,2966,MVZ. Eddie Hernández Vidal,2,5,4,3,Regular,No,Muy Satisfecho
85,25/03/2024,Cirugías,50,85,402,MVZ. Eddie Hernández Vidal,4,2,4,3,Mala,No,Satisfecho
86,26/03/2024,Urgencias,13,119,8422,MVZ. Eddie Hernández Vidal,5,3,5,4,Buena,Sí,Muy Satisfecho
87,27/03/2024,Consulta general,22,158,3333,MVZ. Eddie Hernández Vidal,5,1,3,2,Regular,No,Satisfecho
88,28/03/2024,Servicio a domicilio,46,20,4672,MVZ. Eddie Hernández Vidal,3,2,1,2,Buena,Sí,Algo satisfecho
89,29/03/2024,Desparacitación,35,85,4798,MVZ. Eddie Hernández Vidal,2,3,1,4,Pesima,No,Satisfecho
90,30/03/2024,Servicio a domicilio,23,105,7949,MVZ. Eddie Hernández Vidal,4,3,4,1,Buena,Sí,Satisfecho
91,31/03/2024,Urgencias,37,12,1534,MVZ. Eddie Hernández Vidal,3,5,3,1,Pesima,Sí,Satisfecho
92,01/04/2024,Vacunación,29,156,3628,MVZ. Eddie Hernández Vidal,1,2,4,4,Buena,Sí,Satisfecho
93,02/04/2024,Servicio a domicilio,45,45,511,MVZ. Eddie Hernández Vidal,4,5,5,1,Pesima,No,Muy Satisfecho
94,03/04/2024,Urgencias,42,43,7418,MVZ. Eddie Hernández Vidal,3,3,4,1,Pesima,No,Satisfecho
95,04/04/2024,Hospitalización,26,114,3388,MVZ. Eddie Hernández Vidal,1,2,1,5,Pesima,Sí,Algo satisfecho
96,05/04/2024,Cirugías,18,42,8656,MVZ. Eddie Hernández Vidal,5,5,3,1,Regular,No,Muy Satisfecho
97,06/04/2024,Urgencias,22,118,6072,MVZ. Eddie Hernández Vidal,2,5,1,2,Mala,Sí,Satisfecho
98,07/04/2024,Servicio a domicilio,6,106,7513,MVZ. Eddie Hernández Vidal,2,4,4,4,Regular,No,Muy Satisfecho
99,08/04/2024,Hospitalización,10,91,9968,MVZ. Eddie Hernández Vidal,1,1,3,3,Mala,No,Algo satisfecho
100,09/04/2024,Servicio a domicilio,43,54,7515,MVZ. Eddie Hernández Vidal,4,3,4,5,Buena,Sí,Muy Satisfecho
101,10/04/2024,Servicio a domicilio,1,35,6990,MVZ. Eddie Hernández Vidal,2,3,2,5,Pesima,Sí,Satisfecho
102,11/04/2024,Vacunación,9,76,4416,MVZ. Eddie Hernández Vidal,2,5,5,4,Buena,Sí,Muy Satisfecho
103,12/04/2024,Vacunación,26,170,8229,MVZ. Eddie Hernández Vidal,1,3,5,2,Pesima,Sí,Satisfecho
104,13/04/2024,Servicio a domicilio,48,164,8361,MVZ. Eddie Hernández Vidal,1,3,5,4,Regular,Sí,Satisfecho
105,14/04/2024,Vacunación,15,180,1296,MVZ. Eddie Hernández Vidal,5,2,3,2,Mala,No,Satisfecho
106,15/04/2024,Desparacitación,17,58,1749,MVZ. Eddie Hernández Vidal,1,4,4,2,Buena,Sí,Satisfecho
107,16/04/2024,Consulta general,19,108,1884,MVZ. Eddie Hernández Vidal,1,2,3,1,Regular,No,Algo satisfecho
108,17/04/2024,Servicio a domicilio,19,141,8784,MVZ. Eddie Hernández Vidal,3,2,1,3,Pesima,Sí,Algo satisfecho
109,18/04/2024,Consulta general,1,23,6366,MVZ. Eddie Hernández Vidal,4,3,2,2,Pesima,No,Satisfecho
110,19/04/2024,Desparacitación,27,30,3540,MVZ. Eddie Hernández Vidal,3,3,1,1,Pesima,No,Algo satisfecho
111,20/04/2024,Ultrasonido,51,172,5598,MVZ. Eddie Hernández Vidal,1,3,2,5,Mala,Sí,Satisfecho
112,21/04/2024,Estética,36,7,514,MVZ. Eddie Hernández Vidal,5,2,5,4,Buena,Sí,Muy Satisfecho
113,22/04/2024,Servicio a domicilio,35,109,8580,MVZ. Eddie Hernández Vidal,4,2,2,3,Regular,Sí,Satisfecho
114,23/04/2024,Vacunación,9,108,1465,MVZ. Eddie Hernández Vidal,3,4,5,2,Buena,Sí,Muy Satisfecho
115,24/04/2024,Urgencias,41,102,4057,MVZ. Eddie Hernández Vidal,3,5,1,3,Buena,No,Satisfecho
116,25/04/2024,Urgencias,13,8,8120,MVZ. Eddie Hernández Vidal,4,2,2,1,Buena,Sí,Algo satisfecho
117,26/04/2024,Ultrasonido,53,31,5557,MVZ. Eddie Hernández Vidal,1,3,1,5,Mala,Sí,Satisfecho
118,27/04/2024,Urgencias,6,116,3317,MVZ. Eddie Hernández Vidal,4,2,1,5,Buena,Sí,Satisfecho
119,28/04/2024,Ultrasonido,24,118,7599,MVZ. Eddie Hernández Vidal,3,1,2,4,Buena,No,Satisfecho
120,29/04/2024,Vacunación,10,120,4598,MVZ. Eddie Hernández Vidal,2,2,3,3,Mala,Sí,Satisfecho
121,30/04/2024,Vacunación,57,70,6109,MVZ. Eddie Hernández Vidal,4,2,2,5,Pesima,Sí,Satisfecho
122,01/05/2024,Estética,43,111,5022,MVZ. Eddie Hernández Vidal,5,1,5,2,Regular,Sí,Satisfecho
123,02/05/2024,Estética,37,87,7622,MVZ. Eddie Hernández Vidal,3,4,4,4,Pesima,No,Muy Satisfecho
124,03/05/2024,Estética,5,76,8663,MVZ. Eddie Hernández Vidal,3,2,4,3,Regular,No,Satisfecho
125,04/05/2024,Servicio a domicilio,40,176,9261,MVZ. Eddie Hernández Vidal,2,1,3,1,Pesima,No,Algo satisfecho
126,05/05/2024,Vacunación,52,74,4131,MVZ. Eddie Hernández Vidal,2,1,3,3,Regular,Sí,Algo satisfecho
127,06/05/2024,Servicio a domicilio,15,63,5197,MVZ. Eddie Hernández Vidal,2,1,1,5,Regular,No,Algo satisfecho
128,07/05/2024,Urgencias,14,173,5783,MVZ. Eddie Hernández Vidal,2,4,3,1,Buena,Sí,Satisfecho
129,08/05/2024,Estética,21,106,5896,MVZ. Eddie Hernández Vidal,1,1,2,1,Mala,No,Insatisfecho
130,09/05/2024,Estética,0,152,788,MVZ. Eddie Hernández Vidal,4,5,5,4,Regular,No,Extremadamente satisfecho
131,10/05/2024,Vacunación,35,39,8517,MVZ. Eddie Hernández Vidal,5,3,5,3,Mala,No,Muy Satisfecho
132,11/05/2024,Estética,33,93,4591,MVZ. Eddie Hernández Vidal,5,5,5,5,Mala,No,Extremadamente satisfecho
133,12/05/2024,Servicio a domicilio,14,99,9810,MVZ. Eddie Hernández Vidal,3,2,4,2,Buena,No,Satisfecho
134,13/05/2024,Estética,6,133,4613,MVZ. Eddie Hernández Vidal,1,4,1,2,Pesima,No,Algo satisfecho
135,14/05/2024,Desparacitación,24,114,8258,MVZ. Eddie Hernández Vidal,3,4,1,3,Pesima,Sí,Satisfecho
136,15/05/2024,Vacunación,54,52,9682,MVZ. Eddie Hernández Vidal,5,4,1,4,Buena,No,Muy Satisfecho
137,16/05/2024,Urgencias,3,125,2819,MVZ. Eddie Hernández Vidal,4,2,1,2,Mala,No,Algo satisfecho
138,17/05/2024,Desparacitación,4,9,5435,MVZ. Eddie Hernández Vidal,1,1,4,5,Pesima,Sí,Satisfecho
139,18/05/2024,Vacunación,37,69,4003,MVZ. Eddie Hernández Vidal,1,2,4,4,Pesima,Sí,Satisfecho
140,19/05/2024,Ultrasonido,40,169,3705,MVZ. Eddie Hernández Vidal,5,1,4,4,Buena,No,Muy Satisfecho
141,20/05/2024,Estética,31,65,766,MVZ. Eddie Hernández Vidal,3,1,3,5,Pesima,No,Satisfecho
142,21/05/2024,Urgencias,27,73,7496,MVZ. Eddie Hernández Vidal,4,5,1,4,Buena,Sí,Muy Satisfecho
143,22/05/2024,Estética,50,10,2642,MVZ. Eddie Hernández Vidal,1,1,3,3,Mala,No,Algo satisfecho
144,23/05/2024,Cirugías,41,27,6253,MVZ. Eddie Hernández Vidal,3,2,3,2,Pesima,No,Satisfecho
145,24/05/2024,Urgencias,3,88,935,MVZ. Eddie Hernández Vidal,1,1,5,2,Regular,Sí,Algo satisfecho
146,25/05/2024,Ultrasonido,34,81,7525,MVZ. Eddie Hernández Vidal,3,2,1,4,Pesima,No,Satisfecho
147,26/05/2024,Cirugías,41,66,7814,MVZ. Eddie Hernández Vidal,2,4,2,4,Buena,Sí,Satisfecho
148,27/05/2024,Vacunación,13,172,1093,MVZ. Eddie Hernández Vidal,3,5,3,5,Regular,Sí,Muy Satisfecho
149,28/05/2024,Consulta general,49,37,7187,MVZ. Eddie Hernández Vidal,5,1,1,4,Buena,Sí,Satisfecho
150,29/05/2024,Estética,17,35,2158,MVZ. Eddie Hernández Vidal,4,4,1,3,Buena,Sí,Satisfecho
151,30/05/2024,Urgencias,42,89,1373,MVZ. Eddie Hernández Vidal,1,4,1,4,Regular,No,Satisfecho
152,31/05/2024,Desparacitación,40,153,3818,MVZ. Eddie Hernández Vidal,3,2,3,1,Regular,Sí,Algo satisfecho
153,01/06/2024,Ultrasonido,45,74,617,MVZ. Eddie Hernández Vidal,5,4,3,1,Regular,No,Satisfecho
154,02/06/2024,Cirugías,10,93,2446,MVZ. Eddie Hernández Vidal,4,4,1,4,Regular,Sí,Satisfecho
155,03/06/2024,Hospitalización,38,154,8490,MVZ. Eddie Hernández Vidal,3,1,4,5,Pesima,Sí,Satisfecho
156,04/06/2024,Estética,42,75,7373,MVZ. Eddie Hernández Vidal,3,3,5,1,Regular,No,Satisfecho
157,05/06/2024,Estética,3,18,1802,MVZ. Eddie Hernández Vidal,1,1,3,3,Pesima,No,Algo satisfecho
158,06/06/2024,Servicio a domicilio,27,84,2665,MVZ. Eddie Hernández Vidal,2,3,3,2,Buena,Sí,Satisfecho
159,07/06/2024,Estética,60,116,5536,MVZ. Eddie Hernández Vidal,1,4,4,4,Pesima,Sí,Satisfecho
160,08/06/2024,Ultrasonido,15,48,2818,MVZ. Eddie Hernández Vidal,2,3,1,1,Regular,Sí,Algo satisfecho
161,09/06/2024,Ultrasonido,50,72,4767,MVZ. Eddie Hernández Vidal,4,4,4,2,Mala,No,Muy Satisfecho
162,10/06/2024,Consulta general,34,14,8300,MVZ. Eddie Hernández Vidal,1,1,4,3,Pesima,No,Algo satisfecho
163,11/06/2024,Ultrasonido,36,59,5411,MVZ. Eddie Hernández Vidal,5,2,1,5,Pesima,Sí,Satisfecho
164,12/06/2024,Estética,42,93,7477,MVZ. Eddie Hernández Vidal,5,3,3,2,Buena,No,Satisfecho
165,13/06/2024,Estética,39,127,8667,MVZ. Eddie Hernández Vidal,5,5,3,4,Buena,No,Muy Satisfecho
166,14/06/2024,Vacunación,50,60,1722,MVZ. Eddie Hernández Vidal,5,2,1,2,Pesima,Sí,Satisfecho
167,15/06/2024,Servicio a domicilio,44,54,2648,MVZ. Eddie Hernández Vidal,2,3,5,4,Regular,No,Muy Satisfecho
168,16/06/2024,Vacunación,20,25,4034,MVZ. Eddie Hernández Vidal,3,4,2,5,Mala,No,Muy Satisfecho
169,17/06/2024,Ultrasonido,52,170,4202,MVZ. Eddie Hernández Vidal,4,4,4,1,Mala,No,Satisfecho
170,18/06/2024,Vacunación,25,66,7290,MVZ. Eddie Hernández Vidal,5,4,1,5,Regular,Sí,Muy Satisfecho
171,19/06/2024,Ultrasonido,11,45,2158,MVZ. Eddie Hernández Vidal,4,4,2,4,Regular,Sí,Muy Satisfecho
172,20/06/2024,Cirugías,44,131,4864,MVZ. Eddie Hernández Vidal,1,4,5,2,Regular,No,Satisfecho
173,21/06/2024,Hospitalización,17,72,9812,MVZ. Eddie Hernández Vidal,2,1,4,3,Mala,No,Satisfecho
174,22/06/2024,Urgencias,5,42,5303,MVZ. Eddie Hernández Vidal,2,3,1,1,Pesima,Sí,Algo satisfecho
175,23/06/2024,Estética,19,136,6615,MVZ. Eddie Hernández Vidal,2,2,1,1,Pesima,No,Algo satisfecho
176,24/06/2024,Desparacitación,7,171,4375,MVZ. Eddie Hernández Vidal,3,3,4,2,Regular,No,Satisfecho
177,25/06/2024,Ultrasonido,4,38,6487,MVZ. Eddie Hernández Vidal,3,3,4,3,Buena,Sí,Satisfecho
178,26/06/2024,Cirugías,31,94,3778,MVZ. Eddie Hernández Vidal,2,1,3,1,Mala,No,Algo satisfecho
179,27/06/2024,Estética,29,174,4322,MVZ. Eddie Hernández Vidal,3,1,4,3,Regular,Sí,Satisfecho
180,28/06/2024,Servicio a domicilio,42,27,9599,MVZ. Eddie Hernández Vidal,4,4,5,2,Mala,No,Muy Satisfecho
181,29/06/2024,Vacunación,50,71,8339,MVZ. Eddie Hernández Vidal,4,4,3,4,Regular,Sí,Muy Satisfecho
182,30/06/2024,Hospitalización,27,62,1054,MVZ. Eddie Hernández Vidal,4,3,3,4,Mala,Sí,Muy Satisfecho
183,01/07/2024,Cirugías,32,160,5058,MVZ. Eddie Hernández Vidal,4,1,3,5,Mala,Sí,Satisfecho
184,02/07/2024,Vacunación,43,63,1260,MVZ. Eddie Hernández Vidal,1,2,5,4,Buena,Sí,Satisfecho
185,03/07/2024,Desparacitación,41,125,1777,MVZ. Eddie Hernández Vidal,1,3,4,1,Mala,Sí,Algo satisfecho
186,04/07/2024,Cirugías,18,161,5514,MVZ. Eddie Hernández Vidal,2,1,1,2,Mala,Sí,Algo satisfecho
187,05/07/2024,Vacunación,29,52,8970,MVZ. Eddie Hernández Vidal,5,3,1,1,Mala,Sí,Satisfecho
188,06/07/2024,Vacunación,13,38,910,MVZ. Eddie Hernández Vidal,3,1,3,5,Buena,Sí,Satisfecho
189,07/07/2024,Hospitalización,50,158,5002,MVZ. Eddie Hernández Vidal,3,3,1,4,Mala,Sí,Satisfecho
190,08/07/2024,Hospitalización,44,123,8729,MVZ. Eddie Hernández Vidal,2,2,3,2,Pesima,Sí,Algo satisfecho
191,09/07/2024,Vacunación,9,12,1490,MVZ. Eddie Hernández Vidal,3,1,4,2,Mala,Sí,Satisfecho
192,10/07/2024,Servicio a domicilio,54,34,1750,MVZ. Eddie Hernández Vidal,4,5,4,3,Regular,No,Muy Satisfecho
193,11/07/2024,Vacunación,8,172,1541,MVZ. Eddie Hernández Vidal,3,4,4,3,Mala,Sí,Muy Satisfecho
194,12/07/2024,Hospitalización,25,174,8380,MVZ. Eddie Hernández Vidal,2,1,3,2,Mala,No,Algo satisfecho
195,13/07/2024,Hospitalización,33,25,3897,MVZ. Eddie Hernández Vidal,3,3,5,4,Pesima,No,Muy Satisfecho
196,14/07/2024,Cirugías,17,38,6497,MVZ. Eddie Hernández Vidal,2,4,4,5,Regular,No,Muy Satisfecho
197,15/07/2024,Consulta general,49,118,5874,MVZ. Eddie Hernández Vidal,3,3,5,5,Mala,Sí,Muy Satisfecho
198,16/07/2024,Servicio a domicilio,47,125,9677,MVZ. Eddie Hernández Vidal,4,1,5,1,Pesima,No,Satisfecho
199,17/07/2024,Servicio a domicilio,16,15,2229,MVZ. Eddie Hernández Vidal,5,3,1,1,Pesima,Sí,Satisfecho
200,18/07/2024,Estética,49,81,1059,MVZ. Eddie Hernández Vidal,1,1,4,3,Mala,No,Algo satisfecho
201,19/07/2024,Consulta general,7,52,5616,MVZ. Eddie Hernández Vidal,1,1,4,1,Pesima,No,Algo satisfecho
202,20/07/2024,Cirugías,30,135,650,MVZ. Eddie Hernández Vidal,4,4,5,2,Mala,Sí,Muy Satisfecho
203,21/07/2024,Estética,16,58,6721,MVZ. Eddie Hernández Vidal,3,1,2,2,Regular,Sí,Algo satisfecho
204,22/07/2024,Desparacitación,22,74,8119,MVZ. Eddie Hernández Vidal,2,2,2,1,Mala,No,Algo satisfecho
205,23/07/2024,Urgencias,59,152,5763,MVZ. Eddie Hernández Vidal,3,5,3,2,Pesima,Sí,Satisfecho
206,24/07/2024,Servicio a domicilio,37,133,5197,MVZ. Eddie Hernández Vidal,4,2,2,5,Pesima,Sí,Satisfecho
207,25/07/2024,Cirugías,9,150,5064,MVZ. Eddie Hernández Vidal,2,1,3,4,Regular,Sí,Satisfecho
208,26/07/2024,Cirugías,46,115,1967,MVZ. Eddie Hernández Vidal,5,5,5,2,Pesima,Sí,Muy Satisfecho
209,27/07/2024,Urgencias,12,63,6251,MVZ. Eddie Hernández Vidal,2,3,4,5,Buena,Sí,Muy Satisfecho
210,28/07/2024,Estética,24,169,1193,MVZ. Eddie Hernández Vidal,1,3,3,5,Buena,Sí,Satisfecho
211,29/07/2024,Consulta general,53,145,433,MVZ. Eddie Hernández Vidal,3,2,3,2,Buena,No,Satisfecho
212,30/07/2024,Consulta general,22,177,3654,MVZ. Eddie Hernández Vidal,5,4,1,5,Pesima,No,Muy Satisfecho
213,31/07/2024,Urgencias,56,84,530,MVZ. Eddie Hernández Vidal,5,5,4,4,Mala,Sí,Extremadamente satisfecho
214,01/08/2024,Vacunación,14,170,5252,MVZ. Eddie Hernández Vidal,2,5,4,1,Pesima,Sí,Satisfecho
