Cliente_ID,Fecha_Visita,Tipo_Servicio,Tiempo_Espera,Duración_Atención,Costo_Servicio,Personal_Atención,Calidad_Atención,Instalaciones,Comunicación,Facilidad_Pago,Experiencia_Cliente,Recomendaciones,Satisfaccion_cliente,Niveles
17,02/09/2023,Desparasitación,34,78,716,MVZ. Eddie Hernández Vidal,1,4,2,3,Buena,No,Insatisfecho,Insatisfecho
18,22/04/2023,Servicio a domicilio,15,55,4498,MVZ. Eddie Hernández Vidal,4,4,1,5,Mala,No,Algo satisfecho,Algo satisfecho
19,27/05/2023,Hospitalización,10,148,1540,MVZ. Eddie Hernández Vidal,4,2,3,3,Buena,No,Algo satisfecho,Algo satisfecho
20,24/06/2023,Cirugías,39,134,996,MVZ. Eddie Hernández Vidal,5,3,3,4,Regular,Sí,Extremadamente satisfecho,Extremadamente satisfecho
21,30/07/2023,Servicio a domicilio,21,64,4626,MVZ. Eddie Hernández Vidal,5,3,5,4,Buena,No,Algo satisfecho,Algo satisfecho
22,19/05/2023,Estética,18,73,4398,MVZ. Eddie Hernández Vidal,4,3,2,5,Pésima,Sí,Algo satisfecho,Algo satisfecho
23,27/03/2023,Urgencias,36,44,459,MVZ. Eddie Hernández Vidal,5,5,2,3,Regular,No,Extremadamente satisfecho,Extremadamente satisfecho
24,16/12/2023,Consulta general,34,121,3353,MVZ. Eddie Hernández Vidal,3,3,1,3,Mala,No,Insatisfecho,Insatisfecho
25,31/01/2023,Desparasitación,15,118,4944,MVZ. Eddie Hernández Vidal,5,2,4,1,Regular,No,Satisfecho,Satisfecho
26,13/12/2023,Consulta general,13,73,4420,MVZ. Eddie Hernández Vidal,1,3,3,1,Regular,Sí,Satisfecho,Satisfecho
27,10/01/2023,Consulta general,21,95,4549,MVZ. Eddie Hernández Vidal,2,1,1,5,Regular,No,Insatisfecho,Insatisfecho
28,11/06/2023,Hospitalización,33,113,3387,MVZ. Eddie Hernández Vidal,5,5,4,1,Regular,No,Algo satisfecho,Algo satisfecho
29,20/07/2023,Vacunación,22,43,4665,MVZ. Eddie Hernández Vidal,4,3,4,2,Mala,Sí,Satisfecho,Satisfecho
30,09/06/2023,Servicio a domicilio,27,95,4402,MVZ. Eddie Hernández Vidal,2,5,2,2,Pésima,Sí,Algo satisfecho,Algo satisfecho
31,10/09/2023,Hospitalización,21,106,1594,MVZ. Eddie Hernández Vidal,5,1,4,3,Regular,No,Insatisfecho,Insatisfecho
32,05/06/2023,Hospitalización,40,107,5756,MVZ. Eddie Hernández Vidal,2,1,1,1,Regular,Sí,Algo satisfecho,Algo satisfecho
33,14/07/2023,Consulta general,22,61,5651,MVZ. Eddie Hernández Vidal,4,4,2,2,Mala,No,Satisfecho,Satisfecho
34,03/04/2023,Ultrasonido,27,84,3911,MVZ. Eddie Hernández Vidal,3,3,3,1,Mala,No,Insatisfecho,Insatisfecho
35,20/11/2023,Urgencias,8,49,3608,MVZ. Eddie Hernández Vidal,1,3,4,4,Pésima,No,Insatisfecho,Insatisfecho
36,12/03/2023,Consulta general,19,93,5606,MVZ. Eddie Hernández Vidal,4,5,1,2,Pésima,No,Algo satisfecho,Algo satisfecho
37,05/04/2023,Vacunación,34,19,1680,MVZ. Eddie Hernández Vidal,2,3,5,2,Buena,No,Algo satisfecho,Algo satisfecho
38,10/02/2023,Estética,11,76,5289,MVZ. Eddie Hernández Vidal,2,3,3,1,Pésima,No,Insatisfecho,Insatisfecho
39,12/10/2023,Cirugías,27,104,1811,MVZ. Eddie Hernández Vidal,5,3,3,2,Buena,No,Extremadamente satisfecho,Extremadamente satisfecho
40,26/09/2023,Hospitalización,18,108,4771,MVZ. Eddie Hernández Vidal,1,1,2,5,Buena,No,Insatisfecho,Insatisfecho
41,21/10/2023,Servicio a domicilio,34,70,701,MVZ. Eddie Hernández Vidal,3,4,5,2,Buena,Sí,Muy Satisfecho,Muy Satisfecho
42,20/05/2023,Consulta general,29,53,3945,MVZ. Eddie Hernández Vidal,4,2,1,1,Regular,No,Extremadamente satisfecho,Extremadamente satisfecho
43,02/06/2023,Cirugías,23,32,982,MVZ. Eddie Hernández Vidal,2,2,3,1,Regular,No,Satisfecho,Satisfecho
44,04/02/2023,Urgencias,33,120,5185,MVZ. Eddie Hernández Vidal,4,4,2,4,Mala,No,Muy Satisfecho,Muy Satisfecho
45,27/07/2023,Servicio a domicilio,32,133,2678,MVZ. Eddie Hernández Vidal,2,4,2,4,Buena,Sí,Satisfecho,Satisfecho
46,01/12/2023,Consulta general,21,20,5961,MVZ. Eddie Hernández Vidal,1,1,2,4,Pésima,Sí,Algo satisfecho,Algo satisfecho
47,26/10/2023,Cirugías,24,145,4909,MVZ. Eddie Hernández Vidal,2,1,1,2,Regular,Sí,Insatisfecho,Insatisfecho
48,11/01/2023,Consulta general,10,39,4476,MVZ. Eddie Hernández Vidal,2,1,4,1,Buena,Sí,Muy Satisfecho,Muy Satisfecho
49,12/09/2023,Estética,24,18,5562,MVZ. Eddie Hernández Vidal,5,3,1,5,Buena,Sí,Extremadamente satisfecho,Extremadamente satisfecho
50,21/12/2023,Ultrasonido,28,35,754,MVZ. Eddie Hernández Vidal,1,1,5,4,Buena,Sí,Insatisfecho,Insatisfecho
51,18/11/2023,Hospitalización,31,140,4572,MVZ. Eddie Hernández Vidal,2,3,3,4,Buena,Sí,Muy Satisfecho,Muy Satisfecho
52,13/07/2023,Ultrasonido,39,36,3586,MVZ. Eddie Hernández Vidal,2,2,5,4,Pésima,No,Satisfecho,Satisfecho
53,15/01/2023,Consulta general,18,51,1596,MVZ. Eddie Hernández Vidal,1,2,1,5,Pésima,No,Satisfecho,Satisfecho
54,21/07/2023,Consulta general,33,133,3420,MVZ. Eddie Hernández Vidal,2,2,4,1,Buena,Sí,Muy Satisfecho,Muy Satisfecho
55,04/11/2023,Urgencias,23,145,4808,MVZ. Eddie Hernández Vidal,2,2,5,5,Pésima,No,Insatisfecho,Insatisfecho
56,24/11/2023,Ultrasonido,34,15,5862,MVZ. Eddie Hernández Vidal,5,3,4,2,Regular,No,Algo satisfecho,Algo satisfecho
57,13/10/2023,Ultrasonido,11,34,1673,MVZ. Eddie Hernández Vidal,2,5,2,4,Buena,Sí,Algo satisfecho,Algo satisfecho
58,14/11/2023,Hospitalización,15,125,4764,MVZ. Eddie Hernández Vidal,5,4,4,4,Mala,No,Muy Satisfecho,Muy Satisfecho
59,17/06/2023,Consulta general,22,30,4014,MVZ. Eddie Hernández Vidal,3,3,3,4,Pésima,Sí,Satisfecho,Satisfecho
60,14/05/2023,Servicio a domicilio,24,142,1504,MVZ. Eddie Hernández Vidal,1,5,3,4,Pésima,No,Algo satisfecho,Algo satisfecho
61,05/03/2023,Estética,12,128,2820,MVZ. Eddie Hernández Vidal,4,4,1,2,Mala,No,Extremadamente satisfecho,Extremadamente satisfecho
62,22/05/2023,Urgencias,40,32,5988,MVZ. Eddie Hernández Vidal,1,4,2,5,Buena,Sí,Algo satisfecho,Algo satisfecho
63,28/05/2023,Estética,25,91,4821,MVZ. Eddie Hernández Vidal,4,5,3,3,Mala,Sí,Extremadamente satisfecho,Extremadamente satisfecho
64,04/04/2023,Cirugías,34,59,5808,MVZ. Eddie Hernández Vidal,5,5,5,5,Buena,No,Satisfecho,Satisfecho
65,21/04/2023,Hospitalización,21,56,4874,MVZ. Eddie Hernández Vidal,5,5,2,4,Mala,No,Algo satisfecho,Algo satisfecho
66,29/11/2023,Hospitalización,31,24,823,MVZ. Eddie Hernández Vidal,3,3,2,3,Mala,No,Insatisfecho,Insatisfecho
67,14/08/2023,Urgencias,26,43,339,MVZ. Eddie Hernández Vidal,1,3,3,4,Buena,Sí,Algo satisfecho,Algo satisfecho
68,30/06/2023,Hospitalización,14,146,1532,MVZ. Eddie Hernández Vidal,3,5,5,2,Regular,No,Algo satisfecho,Algo satisfecho
69,07/01/2023,Consulta general,40,29,2805,MVZ. Eddie Hernández Vidal,4,2,2,3,Regular,No,Insatisfecho,Insatisfecho
70,18/07/2023,Ultrasonido,32,107,5987,MVZ. Eddie Hernández Vidal,4,2,5,4,Pésima,Sí,Satisfecho,Satisfecho
71,20/12/2023,Estética,17,38,1882,MVZ. Eddie Hernández Vidal,3,5,1,3,Buena,Sí,Extremadamente satisfecho,Extremadamente satisfecho
72,02/04/2023,Cirugías,14,70,3859,MVZ. Eddie Hernández Vidal,5,5,4,4,Buena,Sí,Algo satisfecho,Algo satisfecho
73,08/12/2023,Hospitalización,23,64,2198,MVZ. Eddie Hernández Vidal,5,4,3,1,Pésima,No,Satisfecho,Satisfecho
74,19/11/2023,Desparasitación,39,52,3353,MVZ. Eddie Hernández Vidal,3,4,5,1,Buena,Sí,Extremadamente satisfecho,Extremadamente satisfecho
75,27/11/2023,Hospitalización,23,69,3136,MVZ. Eddie Hernández Vidal,2,3,5,3,Pésima,No,Extremadamente satisfecho,Extremadamente satisfecho
76,30/08/2023,Urgencias,6,106,4928,MVZ. Eddie Hernández Vidal,1,3,3,4,Regular,Sí,Muy Satisfecho,Muy Satisfecho
77,20/07/2023,Urgencias,33,131,3038,MVZ. Eddie Hernández Vidal,4,5,5,1,Mala,No,Insatisfecho,Insatisfecho
78,24/03/2023,Cirugías,33,19,1906,MVZ. Eddie Hernández Vidal,1,2,5,5,Pésima,Sí,Algo satisfecho,Algo satisfecho
79,22/08/2023,Vacunación,40,77,4325,MVZ. Eddie Hernández Vidal,1,1,2,1,Buena,Sí,Algo satisfecho,Algo satisfecho
80,24/09/2023,Estética,22,77,511,MVZ. Eddie Hernández Vidal,3,5,5,1,Pésima,No,Extremadamente satisfecho,Extremadamente satisfecho
81,29/08/2023,Ultrasonido,35,29,177,MVZ. Eddie Hernández Vidal,2,5,4,3,Mala,No,Satisfecho,Satisfecho
82,03/07/2023,Ultrasonido,24,87,5294,MVZ. Eddie Hernández Vidal,5,4,4,2,Mala,Sí,Extremadamente satisfecho,Extremadamente satisfecho
83,02/11/2023,Desparasitación,39,58,112,MVZ. Eddie Hernández Vidal,4,2,3,2,Buena,Sí,Insatisfecho,Insatisfecho
84,23/03/2023,Estética,31,128,763,MVZ. Eddie Hernández Vidal,5,1,1,5,Regular,No,Satisfecho,Satisfecho
85,18/03/2023,Estética,34,121,2682,MVZ. Eddie Hernández Vidal,1,5,5,2,Buena,Sí,Satisfecho,Satisfecho
86,30/09/2023,Ultrasonido,28,72,3687,MVZ. Eddie Hernández Vidal,1,5,2,2,Mala,No,Satisfecho,Satisfecho
87,17/11/2023,Vacunación,10,23,3977,MVZ. Eddie Hernández Vidal,1,4,2,4,Pésima,Sí,Algo satisfecho,Algo satisfecho
88,11/08/2023,Hospitalización,31,22,2811,MVZ. Eddie Hernández Vidal,5,1,3,2,Pésima,No,Satisfecho,Satisfecho
89,17/04/2023,Urgencias,22,127,1839,MVZ. Eddie Hernández Vidal,3,5,5,5,Pésima,Sí,Muy Satisfecho,Muy Satisfecho
90,13/12/2023,Ultrasonido,23,109,2965,MVZ. Eddie Hernández Vidal,4,3,2,4,Buena,Sí,Extremadamente satisfecho,Extremadamente satisfecho
91,13/05/2023,Desparasitación,11,141,3944,MVZ. Eddie Hernández Vidal,3,1,2,1,Regular,Sí,Algo satisfecho,Algo satisfecho
92,16/07/2023,Servicio a domicilio,20,115,3985,MVZ. Eddie Hernández Vidal,2,5,3,5,Mala,Sí,Muy Satisfecho,Muy Satisfecho
93,13/08/2023,Urgencias,40,48,5938,MVZ. Eddie Hernández Vidal,5,4,1,5,Regular,No,Algo satisfecho,Algo satisfecho
94,21/05/2023,Servicio a domicilio,23,90,1575,MVZ. Eddie Hernández Vidal,3,3,2,5,Regular,Sí,Extremadamente satisfecho,Extremadamente satisfecho
95,03/12/2023,Vacunación,11,61,1830,MVZ. Eddie Hernández Vidal,1,2,3,3,Buena,Sí,Algo satisfecho,Algo satisfecho
96,22/02/2023,Servicio a domicilio,34,30,3673,MVZ. Eddie Hernández Vidal,5,4,2,2,Buena,No,Algo satisfecho,Algo satisfecho
97,20/08/2023,Vacunación,37,33,5210,MVZ. Eddie Hernández Vidal,5,5,1,5,Mala,Sí,Extremadamente satisfecho,Extremadamente satisfecho
98,27/01/2023,Desparasitación,27,122,783,MVZ. Eddie Hernández Vidal,3,3,3,2,Regular,No,Extremadamente satisfecho,Extremadamente satisfecho
99,27/07/2023,Servicio a domicilio,21,69,4571,MVZ. Eddie Hernández Vidal,4,5,5,5,Buena,No,Extremadamente satisfecho,Extremadamente satisfecho
100,24/11/2023,Servicio a domicilio,36,126,1545,MVZ. Eddie Hernández Vidal,3,4,5,5,Regular,Sí,Muy Satisfecho,Muy Satisfecho
101,18/09/2023,Consulta general,22,93,2013,MVZ. Eddie Hernández Vidal,4,4,2,1,Regular,No,Extremadamente satisfecho,Extremadamente satisfecho
102,28/10/2023,Hospitalización,8,73,5531,MVZ. Eddie Hernández Vidal,4,5,4,5,Pésima,No,Extremadamente satisfecho,Extremadamente satisfecho
103,23/09/2023,Desparasitación,16,74,574,MVZ. Eddie Hernández Vidal,1,3,5,2,Mala,Sí,Insatisfecho,Insatisfecho
104,19/01/2023,Desparasitación,38,74,4375,MVZ. Eddie Hernández Vidal,1,2,4,5,Mala,Sí,Muy Satisfecho,Muy Satisfecho
105,16/07/2023,Desparasitación,20,15,4717,MVZ. Eddie Hernández Vidal,5,5,3,2,Mala,Sí,Extremadamente satisfecho,Extremadamente satisfecho
106,05/08/2023,Ultrasonido,31,87,2284,MVZ. Eddie Hernández Vidal,3,5,1,1,Buena,Sí,Extremadamente satisfecho,Extremadamente satisfecho
107,07/05/2023,Estética,36,62,3193,MVZ. Eddie Hernández Vidal,1,3,2,4,Pésima,No,Extremadamente satisfecho,Extremadamente satisfecho
108,29/08/2023,Ultrasonido,38,27,3318,MVZ. Eddie Hernández Vidal,1,1,1,3,Pésima,No,Muy Satisfecho,Muy Satisfecho
109,27/10/2023,Cirugías,7,25,5736,MVZ. Eddie Hernández Vidal,5,4,3,1,Regular,No,Extremadamente satisfecho,Extremadamente satisfecho
110,24/05/2023,Vacunación,33,68,1145,MVZ. Eddie Hernández Vidal,2,3,4,3,Pésima,No,Insatisfecho,Insatisfecho
111,27/12/2023,Vacunación,29,149,5197,MVZ. Eddie Hernández Vidal,2,1,4,3,Buena,No,Insatisfecho,Insatisfecho
112,10/09/2023,Hospitalización,37,84,2598,MVZ. Eddie Hernández Vidal,1,3,2,3,Regular,No,Muy Satisfecho,Muy Satisfecho
113,19/02/2023,Estética,33,27,2899,MVZ. Eddie Hernández Vidal,1,3,2,2,Regular,Sí,Muy Satisfecho,Muy Satisfecho
114,25/12/2023,Servicio a domicilio,27,120,4778,MVZ. Eddie Hernández Vidal,2,2,3,2,Pésima,No,Insatisfecho,Insatisfecho
115,17/05/2023,Vacunación,13,112,3058,MVZ. Eddie Hernández Vidal,2,2,2,3,Regular,No,Muy Satisfecho,Muy Satisfecho
116,07/06/2023,Ultrasonido,31,105,2076,MVZ. Eddie Hernández Vidal,5,2,4,2,Pésima,Sí,Muy Satisfecho,Muy Satisfecho
117,20/10/2023,Cirugías,30,109,1834,MVZ. Eddie Hernández Vidal,5,2,2,4,Regular,No,Extremadamente satisfecho,Extremadamente satisfecho
118,03/05/2023,Urgencias,14,68,2390,MVZ. Eddie Hernández Vidal,4,1,5,3,Mala,No,Muy Satisfecho,Muy Satisfecho
119,28/12/2023,Estética,18,45,1661,MVZ. Eddie Hernández Vidal,2,2,3,3,Pésima,Sí,Insatisfecho,Insatisfecho
120,01/01/2023,Ultrasonido,11,149,5808,MVZ. Eddie Hernández Vidal,1,3,5,5,Buena,No,Insatisfecho,Insatisfecho
121,03/08/2023,Desparasitación,37,65,1026,MVZ. Eddie Hernández Vidal,5,3,2,3,Buena,No,Muy Satisfecho,Muy Satisfecho
122,12/06/2023,Estética,28,80,1582,MVZ. Eddie Hernández Vidal,4,3,5,1,Buena,No,Algo satisfecho,Algo satisfecho
123,16/06/2023,Ultrasonido,31,125,2713,MVZ. Eddie Hernández Vidal,5,2,1,1,Mala,No,Muy Satisfecho,Muy Satisfecho
124,07/10/2023,Servicio a domicilio,12,103,1101,MVZ. Eddie Hernández Vidal,4,3,3,4,Pésima,Sí,Muy Satisfecho,Muy Satisfecho
125,05/12/2023,Cirugías,8,67,172,MVZ. Eddie Hernández Vidal,1,1,5,2,Pésima,No,Insatisfecho,Insatisfecho
126,18/11/2023,Servicio a domicilio,31,146,4223,MVZ. Eddie Hernández Vidal,5,1,2,2,Buena,No,Insatisfecho,Insatisfecho
127,03/06/2023,Consulta general,15,56,2217,MVZ. Eddie Hernández Vidal,4,2,1,5,Mala,Sí,Extremadamente satisfecho,Extremadamente satisfecho
128,17/02/2023,Vacunación,30,55,4493,MVZ. Eddie Hernández Vidal,3,2,5,1,Pésima,No,Satisfecho,Satisfecho
129,26/06/2023,Hospitalización,38,21,1809,MVZ. Eddie Hernández Vidal,3,4,3,1,Buena,Sí,Algo satisfecho,Algo satisfecho
130,23/06/2023,Estética,21,143,1461,MVZ. Eddie Hernández Vidal,5,5,2,4,Pésima,No,Muy Satisfecho,Muy Satisfecho
131,02/06/2023,Cirugías,26,104,5607,MVZ. Eddie Hernández Vidal,5,1,3,2,Buena,No,Algo satisfecho,Algo satisfecho
132,20/01/2023,Hospitalización,18,119,3506,MVZ. Eddie Hernández Vidal,3,5,4,4,Mala,No,Muy Satisfecho,Muy Satisfecho
133,28/01/2023,Servicio a domicilio,5,145,4312,MVZ. Eddie Hernández Vidal,3,1,2,1,Mala,No,Insatisfecho,Insatisfecho
134,21/06/2023,Servicio a domicilio,18,70,2983,MVZ. Eddie Hernández Vidal,3,3,1,5,Mala,Sí,Extremadamente satisfecho,Extremadamente satisfecho
135,13/05/2023,Ultrasonido,6,128,2531,MVZ. Eddie Hernández Vidal,2,3,1,1,Pésima,No,Algo satisfecho,Algo satisfecho
136,11/08/2023,Ultrasonido,17,74,4612,MVZ. Eddie Hernández Vidal,1,3,5,2,Regular,No,Insatisfecho,Insatisfecho
137,26/11/2023,Consulta general,23,58,4600,MVZ. Eddie Hernández Vidal,2,3,1,5,Pésima,No,Satisfecho,Satisfecho
138,07/05/2023,Consulta general,33,20,5609,MVZ. Eddie Hernández Vidal,2,3,4,2,Regular,No,Insatisfecho,Insatisfecho
139,14/03/2023,Hospitalización,37,78,5972,MVZ. Eddie Hernández Vidal,2,5,2,1,Regular,No,Satisfecho,Satisfecho
140,24/02/2023,Desparasitación,22,16,5577,MVZ. Eddie Hernández Vidal,3,3,1,4,Mala,Sí,Extremadamente satisfecho,Extremadamente satisfecho
141,03/08/2023,Urgencias,9,34,3108,MVZ. Eddie Hernández Vidal,5,5,4,3,Buena,No,Insatisfecho,Insatisfecho
142,15/10/2023,Servicio a domicilio,13,108,529,MVZ. Eddie Hernández Vidal,2,4,4,1,Regular,Sí,Satisfecho,Satisfecho
143,08/06/2023,Servicio a domicilio,40,77,2096,MVZ. Eddie Hernández Vidal,3,5,4,2,Mala,No,Muy Satisfecho,Muy Satisfecho
144,09/08/2023,Urgencias,22,132,1156,MVZ. Eddie Hernández Vidal,3,5,1,3,Buena,No,Satisfecho,Satisfecho
145,27/07/2023,Desparasitación,22,49,1963,MVZ. Eddie Hernández Vidal,2,5,2,5,Pésima,Sí,Muy Satisfecho,Muy Satisfecho
146,11/06/2023,Urgencias,16,132,2518,MVZ. Eddie Hernández Vidal,5,4,3,2,Pésima,No,Insatisfecho,Insatisfecho
147,04/01/2023,Ultrasonido,11,100,3796,MVZ. Eddie Hernández Vidal,2,3,3,4,Buena,Sí,Insatisfecho,Insatisfecho
148,08/01/2023,Ultrasonido,7,98,283,MVZ. Eddie Hernández Vidal,4,4,3,2,Mala,No,Insatisfecho,Insatisfecho
149,13/06/2023,Estética,33,97,744,MVZ. Eddie Hernández Vidal,3,5,1,2,Pésima,Sí,Muy Satisfecho,Muy Satisfecho
150,18/08/2023,Estética,35,85,2244,MVZ. Eddie Hernández Vidal,1,2,5,3,Mala,Sí,Insatisfecho,Insatisfecho
151,11/01/2023,Vacunación,24,85,1016,MVZ. Eddie Hernández Vidal,3,1,1,1,Mala,No,Satisfecho,Satisfecho
152,02/10/2023,Urgencias,26,63,239,MVZ. Eddie Hernández Vidal,2,1,4,5,Regular,Sí,Algo satisfecho,Algo satisfecho
153,11/02/2023,Estética,14,53,1782,MVZ. Eddie Hernández Vidal,1,3,4,4,Buena,Sí,Extremadamente satisfecho,Extremadamente satisfecho
154,19/06/2023,Cirugías,39,72,4434,MVZ. Eddie Hernández Vidal,1,5,4,1,Pésima,No,Extremadamente satisfecho,Extremadamente satisfecho
155,25/03/2023,Servicio a domicilio,38,118,2416,MVZ. Eddie Hernández Vidal,5,3,4,3,Mala,Sí,Algo satisfecho,Algo satisfecho
156,04/05/2023,Estética,13,53,4612,MVZ. Eddie Hernández Vidal,1,1,5,3,Regular,Sí,Extremadamente satisfecho,Extremadamente satisfecho
157,22/06/2023,Urgencias,27,91,4529,MVZ. Eddie Hernández Vidal,5,3,3,5,Pésima,No,Muy Satisfecho,Muy Satisfecho
158,10/10/2023,Cirugías,25,34,4958,MVZ. Eddie Hernández Vidal,3,3,1,2,Mala,Sí,Satisfecho,Satisfecho
159,08/03/2023,Estética,38,102,2870,MVZ. Eddie Hernández Vidal,2,5,4,3,Buena,No,Muy Satisfecho,Muy Satisfecho
160,04/05/2023,Hospitalización,25,87,2389,MVZ. Eddie Hernández Vidal,5,5,1,4,Regular,No,Insatisfecho,Insatisfecho
161,14/03/2023,Urgencias,33,118,4514,MVZ. Eddie Hernández Vidal,5,3,1,2,Buena,No,Satisfecho,Satisfecho
162,23/07/2023,Estética,24,82,137,MVZ. Eddie Hernández Vidal,3,3,1,2,Regular,No,Satisfecho,Satisfecho
163,26/05/2023,Hospitalización,33,75,1101,MVZ. Eddie Hernández Vidal,2,4,2,5,Regular,Sí,Muy Satisfecho,Muy Satisfecho
164,18/10/2023,Ultrasonido,36,141,5367,MVZ. Eddie Hernández Vidal,5,2,3,2,Buena,No,Insatisfecho,Insatisfecho
165,24/10/2023,Hospitalización,5,33,4824,MVZ. Eddie Hernández Vidal,3,2,2,1,Buena,No,Algo satisfecho,Algo satisfecho
166,23/10/2023,Consulta general,22,21,4065,MVZ. Eddie Hernández Vidal,1,4,1,4,Regular,Sí,Muy Satisfecho,Muy Satisfecho
167,29/05/2023,Ultrasonido,23,108,3345,MVZ. Eddie Hernández Vidal,4,1,5,1,Buena,No,Insatisfecho,Insatisfecho
168,07/03/2023,Consulta general,34,35,3669,MVZ. Eddie Hernández Vidal,4,5,1,1,Pésima,No,Insatisfecho,Insatisfecho
169,16/02/2023,Ultrasonido,37,149,1794,MVZ. Eddie Hernández Vidal,5,4,4,4,Regular,Sí,Algo satisfecho,Algo satisfecho
170,28/12/2023,Estética,26,150,1528,MVZ. Eddie Hernández Vidal,2,3,4,2,Mala,No,Insatisfecho,Insatisfecho
171,12/11/2023,Ultrasonido,28,112,821,MVZ. Eddie Hernández Vidal,4,2,4,1,Pésima,Sí,Muy Satisfecho,Muy Satisfecho
172,14/11/2023,Vacunación,36,146,1891,MVZ. Eddie Hernández Vidal,1,2,1,5,Regular,Sí,Muy Satisfecho,Muy Satisfecho
173,18/11/2023,Vacunación,30,110,1951,MVZ. Eddie Hernández Vidal,3,2,1,2,Buena,Sí,Extremadamente satisfecho,Extremadamente satisfecho
174,31/08/2023,Estética,13,60,1664,MVZ. Eddie Hernández Vidal,1,5,5,4,Pésima,Sí,Insatisfecho,Insatisfecho
175,22/05/2023,Hospitalización,23,89,5468,MVZ. Eddie Hernández Vidal,4,5,1,1,Pésima,Sí,Satisfecho,Satisfecho
176,28/11/2023,Desparasitación,31,94,5422,MVZ. Eddie Hernández Vidal,1,4,5,2,Pésima,No,Muy Satisfecho,Muy Satisfecho
177,20/09/2023,Consulta general,20,136,3090,MVZ. Eddie Hernández Vidal,5,4,3,3,Buena,No,Extremadamente satisfecho,Extremadamente satisfecho
178,17/02/2023,Servicio a domicilio,16,147,3407,MVZ. Eddie Hernández Vidal,5,4,2,5,Mala,Sí,Algo satisfecho,Algo satisfecho
179,18/12/2023,Servicio a domicilio,34,132,3806,MVZ. Eddie Hernández Vidal,1,5,2,5,Mala,No,Satisfecho,Satisfecho
180,09/08/2023,Estética,39,82,3459,MVZ. Eddie Hernández Vidal,5,1,1,3,Regular,No,Insatisfecho,Insatisfecho
181,20/08/2023,Urgencias,33,43,1509,MVZ. Eddie Hernández Vidal,4,4,3,4,Buena,No,Satisfecho,Satisfecho
182,25/08/2023,Vacunación,14,38,421,MVZ. Eddie Hernández Vidal,1,2,4,2,Regular,No,Satisfecho,Satisfecho
183,10/05/2023,Vacunación,5,122,4070,MVZ. Eddie Hernández Vidal,1,3,4,3,Buena,No,Extremadamente satisfecho,Extremadamente satisfecho
184,14/04/2023,Desparasitación,5,68,5052,MVZ. Eddie Hernández Vidal,1,3,5,3,Regular,Sí,Muy Satisfecho,Muy Satisfecho
185,11/01/2023,Ultrasonido,28,110,4678,MVZ. Eddie Hernández Vidal,3,3,1,5,Regular,Sí,Muy Satisfecho,Muy Satisfecho
